,nombre_autor,username_autor,texto_tw,id_tw,id_autor,fecha_creacion,num_retw,num_contestacion,num_likes,num_menciones
84,Pumuckey,pumuckey,"@kenia913 @_JorgeSLL_ @ChemaCorbacho @InesSainzOf @CHANCE_es @TheBridge_Tech No es así. Hay una carrera universitaria llamada Ciencia de Datos y también postgrados, pero lo que ha hecho ella es un curso de 15 semanas que no require tener estudios previos, el único requisito haber cumplido 18 años… 15 semanas de curso y se autodefine como “Científica” 🤦🏻‍♀️",1486618465909854214,1961523644,2022-01-27 08:33:56+00:00,0,0,0,0
85,Valor Compartido,SoyValor,"👏 @FUniversia, @IndraCompany y @TheBridge_Tech ponen en marcha programa de formación tecnológica gratuita para personas con discapacidad.

Lee más aquí 👉 https://t.co/8S1QiTK66I https://t.co/I2gFpUMUnG",1486398530243735553,1025174114535923712,2022-01-26 18:00:00+00:00,0,0,1,0
86,ACEC +,AssociacioACEC,"📰@UniversiaES, @IndraCompany i @TheBridge_Tech signen un acord per a engegar un programa de #beques dirigit a persones amb discapacitat que compten amb estudis #STEM, als quals donaran accés a un bootcamp d'aprenentatge en Desenvolupament Web Full-stack

https://t.co/dd3G8smkNU https://t.co/kwtYcCiyBV",1485946677194371074,479678741,2022-01-25 12:04:30+00:00,0,0,1,0
87,Randall Solano | #TechUniversidad,randallsolanook,"@TheBridge_Tech @ikerarceseco Hola Iker, quisiera poder comunicarme contigo, sobre Digital Reskiling y otros hola@randallsolano.com",1485598878917439491,53319655,2022-01-24 13:02:28+00:00,0,0,0,0
88,Fundación Universia,FUniversia,"Junto con @IndraCompany lanzamos 10 becas destinadas a la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻
Estas becas están dirigidas a personas con #discapacidad que cuenten con formaciones #STEM 
📅Hasta el 28/02
📲 https://t.co/ubL3GyxF4V https://t.co/UP09YF3eb9",1484480904030523394,589903453,2022-01-21 11:00:02+00:00,0,0,8,0
89,Indra,IndraCompany,"Junto a @FUniversia otorgamos 10 becas destinadas a la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 
💻 Estas becas están dirigidas a personas con #discapacidad con formaciones #STEM  
📅Hasta el 28/02 https://t.co/wYjp06QE9c https://t.co/qb8rHZOxtG https://t.co/uIIWUf5IZH",1484471502586138629,73355170,2022-01-21 10:22:41+00:00,0,0,5,0
90,diegodl,diegodl,Hoy tenemos reto de tripulaciones @TheBridge_Tech Un día muy especial para todos! Enhorabuena a todos los alumnos que se gradúan hoy. https://t.co/f0nCFK8asz,1484462596065574914,12085582,2022-01-21 09:47:17+00:00,0,0,1,0
91,The Bridge,TheBridge_Tech,"Nuevo evento🤩""La Inteligencia Artificial y la Ley: lo que hay y lo que viene"" a cargo de @rayadvd

📆25 de enero en @TheBridge_Tech

¡Saca ya tus entradas!🎟️https://t.co/EG7QBigIgJ

#ResponsibleAI #AILaw #Compliance @nodosenlared 
@josepcurto",1484117172494475265,1162694149956603904,2022-01-20 10:54:42+00:00,1,0,3,0
92,The Bridge,TheBridge_Tech,"El claustro de #DataScience de @TheBridge_Tech ha creado este ""escalofriante"" vídeo haciendo uso de Inteligencia Artificial con motivo del tema del #DesafíodeTripulaciones sobre la protección de las marcas ¡Alumnos y famosos se mezclan en este ejercicio de #deepface! #IA 🤯 https://t.co/3Eg8WYfV2p",1483836824279818241,1162694149956603904,2022-01-19 16:20:41+00:00,2,0,1,0
93,The Bridge,TheBridge_Tech,"Del periodismo al marketing digital 🤸 esta es la historia de Blanca Gómez y su experiencia cursando el #bootcamp de #DigitalMarketingOps en @TheBridge_Tech ¡Dale al ▶! 

#digitaltalent #aceleratucarrera https://t.co/sU5Ogt3xGn",1483469787078533123,1162694149956603904,2022-01-18 16:02:13+00:00,0,0,0,0
94,Mario Lopez de Avila,nodosenlared,"Ciclo de Conferencias sobre Inteligencia Artificial Responsable curso 21-22:
""La Inteligencia Artificial y la Ley: lo que hay y lo que viene"" a cargo de @rayadvd 
El 25 de enero, en @TheBridge_Tech info: https://t.co/Zyvxg8uLb0 #ResponsibleAI #AILaw #Compliance | Cc @josepcurto https://t.co/ZqomfcYZ8j",1481340966866989063,41545659,2022-01-12 19:03:03+00:00,1,0,6,0
95,Ingeniero Titiritero,ing_titiritero,Me encantaría saber que les enseñan sobre estadística en el super curso de data science de @TheBridge_Tech,1480228635294449667,183583012,2022-01-09 17:23:02+00:00,0,0,0,0
96,Carlos A. Marchena,cmarchena,"@cbusquets Hola, @TheBridge_Tech te da la opción de pagar una vez consigues trabajo. @uxerschool también te da opciones de pago. En mi opinión son los dos top de Madrid",1479787660910768132,10045342,2022-01-08 12:10:46+00:00,0,0,4,0
97,PymesMagazine,pymesmagazine,"¿Quieres formarte en una de las profesiones que más futuro tienen en la actualidad?
Acuerdo entre @camaradesevilla y @TheBridge_Tech 
https://t.co/RyKjNHm0AE
#pymes #autonómos #emprendedores #Sevilla
#Actualidad #Noticias #NoticiasHoy",1478637395289378817,966573471663828992,2022-01-05 08:00:01+00:00,0,0,3,0
